epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5827,0.77125,1.59404,1.42051,0.9012,0.98084,0.93116,0.68475,0.85161,1.35038,1.78675,0.000661333,0.000661333,0.000661333
2,85.7454,0.77694,1.08569,1.4033,0.91437,0.98387,0.93081,0.7179,0.76517,0.86923,1.69598,0.0013267,0.0013267,0.0013267
3,115.22,0.79694,0.94831,1.41761,0.85905,0.95024,0.9386,0.72257,0.84203,0.94821,1.82189,0.00198688,0.00198688,0.00198688
4,144.705,0.77769,0.81697,1.40534,0.88087,0.97312,0.93738,0.71727,0.87823,0.84716,1.88289,0.00198246,0.00198246,0.00198246
5,174.267,0.75108,0.73489,1.37852,0.80037,0.90532,0.92516,0.71136,0.85828,0.82954,1.76017,0.0019689,0.0019689,0.0019689
6,204.296,0.78197,0.71127,1.39845,0.91886,0.99462,0.94193,0.75348,0.80771,0.74564,1.84609,0.00195155,0.00195155,0.00195155
7,234.749,0.71506,0.67123,1.3406,0.9197,0.99462,0.94315,0.74867,0.79439,0.55646,1.85212,0.00193048,0.00193048,0.00193048
8,265.596,0.71604,0.67243,1.35289,0.91516,0.99462,0.95321,0.69433,0.84258,0.60101,1.80608,0.00190578,0.00190578,0.00190578
9,296.76,0.69654,0.64358,1.32644,0.91677,0.98925,0.96119,0.77324,0.79464,0.57198,1.80309,0.00187754,0.00187754,0.00187754
10,328.143,0.68316,0.62857,1.33533,0.89631,0.97849,0.96046,0.74579,0.84991,0.6608,1.84817,0.00184588,0.00184588,0.00184588
11,359.727,0.67353,0.61306,1.31944,0.91547,0.98986,0.95044,0.76839,0.76982,0.53877,1.83893,0.00181093,0.00181093,0.00181093
12,391.213,0.65567,0.59901,1.30537,0.92267,0.99462,0.95921,0.75954,0.79111,0.53867,1.7695,0.00177281,0.00177281,0.00177281
13,422.791,0.64748,0.58503,1.30963,0.92428,0.99462,0.96961,0.78459,0.74373,0.53008,1.65236,0.00173168,0.00173168,0.00173168
14,454.343,0.62762,0.57789,1.2884,0.92035,0.99393,0.955,0.78006,0.74442,0.58541,1.6895,0.0016877,0.0016877,0.0016877
15,485.992,0.65753,0.59735,1.30386,0.92003,0.99462,0.95651,0.78016,0.73145,0.5978,1.66537,0.00164105,0.00164105,0.00164105
16,517.79,0.63145,0.5634,1.28539,0.9199,0.99462,0.95586,0.78091,0.76238,0.48411,1.6974,0.00159191,0.00159191,0.00159191
17,549.493,0.61837,0.5695,1.28855,0.9242,0.99462,0.95367,0.78609,0.76028,0.51009,1.6855,0.00154047,0.00154047,0.00154047
18,581.227,0.6066,0.55261,1.26608,0.91984,0.99462,0.95243,0.77762,0.74984,0.52972,1.68822,0.00148694,0.00148694,0.00148694
19,612.956,0.60925,0.54309,1.28094,0.92488,0.99297,0.95686,0.78216,0.769,0.48161,1.70529,0.00143152,0.00143152,0.00143152
20,644.621,0.60058,0.54783,1.2663,0.91503,0.99462,0.96767,0.77471,0.74118,0.50246,1.62309,0.00137444,0.00137444,0.00137444
21,676.372,0.59417,0.53716,1.26402,0.92009,0.99462,0.9585,0.77728,0.74873,0.5037,1.71316,0.00131593,0.00131593,0.00131593
22,708.042,0.57387,0.51825,1.26156,0.92007,0.99462,0.96829,0.78459,0.75679,0.55323,1.71534,0.0012562,0.0012562,0.0012562
23,739.572,0.59944,0.54599,1.27235,0.91947,0.99462,0.95422,0.78645,0.72738,0.48038,1.67575,0.00119551,0.00119551,0.00119551
24,771.191,0.56505,0.50371,1.25691,0.9239,0.99462,0.95904,0.78967,0.7405,0.48106,1.64165,0.00113408,0.00113408,0.00113408
25,803.094,0.56506,0.50918,1.24803,0.91083,0.99462,0.96322,0.79824,0.76876,0.4863,1.65634,0.00107216,0.00107216,0.00107216
26,835.271,0.57676,0.51928,1.25615,0.91527,0.99462,0.97133,0.79864,0.73118,0.49482,1.69345,0.00101,0.00101,0.00101
27,867.19,0.5483,0.50556,1.23564,0.90019,0.98925,0.94758,0.78231,0.71032,0.52617,1.61046,0.000947837,0.000947837,0.000947837
28,899.396,0.54203,0.48685,1.23816,0.92326,0.99462,0.95598,0.80014,0.72063,0.48407,1.62089,0.00088592,0.00088592,0.00088592
29,932.472,0.56061,0.51631,1.24891,0.92485,0.99462,0.96195,0.79603,0.73891,0.49568,1.60056,0.000824492,0.000824492,0.000824492
30,964.467,0.52251,0.49091,1.21768,0.91565,0.99462,0.96107,0.80132,0.71951,0.52114,1.58784,0.000763797,0.000763797,0.000763797
31,995.984,0.51599,0.47572,1.20231,0.9153,0.99462,0.96081,0.79243,0.7169,0.55551,1.58488,0.000704073,0.000704073,0.000704073
32,1027.57,0.52956,0.4767,1.22127,0.9249,0.99321,0.96463,0.79876,0.70796,0.51928,1.58936,0.000645557,0.000645557,0.000645557
33,1059.17,0.52579,0.47641,1.2142,0.91576,0.99462,0.96118,0.79599,0.707,0.49295,1.56756,0.000588479,0.000588479,0.000588479
34,1090.79,0.52137,0.4659,1.21678,0.90972,0.99462,0.95849,0.79734,0.73469,0.50265,1.61985,0.000533064,0.000533064,0.000533064
35,1122.39,0.50333,0.46873,1.19236,0.92928,0.98904,0.96307,0.80428,0.72227,0.50252,1.58078,0.000479531,0.000479531,0.000479531
36,1153.98,0.47847,0.45356,1.19508,0.91519,0.99462,0.96391,0.80238,0.7059,0.47862,1.5814,0.000428093,0.000428093,0.000428093
37,1185.52,0.50231,0.47821,1.20835,0.91955,0.99462,0.96312,0.80928,0.70513,0.4687,1.58728,0.00037895,0.00037895,0.00037895
38,1217.24,0.48134,0.43609,1.18866,0.91831,0.99462,0.96415,0.80801,0.69663,0.49642,1.57709,0.000332298,0.000332298,0.000332298
39,1248.77,0.47056,0.46157,1.18693,0.91544,0.99462,0.97246,0.8143,0.69096,0.49531,1.56744,0.000288321,0.000288321,0.000288321
40,1280.43,0.47386,0.44655,1.18011,0.90878,0.99462,0.96763,0.81095,0.68955,0.51373,1.55331,0.000247192,0.000247192,0.000247192
41,1351.1,0.38202,0.40707,1.26006,0.91553,0.99462,0.97002,0.80598,0.67535,0.51306,1.56015,0.000209073,0.000209073,0.000209073
42,1381.26,0.33006,0.34746,1.20001,0.91995,0.99462,0.97164,0.81276,0.66914,0.48346,1.52489,0.000174115,0.000174115,0.000174115
43,1411.91,0.32268,0.33694,1.21058,0.91983,0.99462,0.97202,0.82147,0.66102,0.48895,1.51021,0.000142456,0.000142456,0.000142456
44,1443,0.33931,0.35127,1.22197,0.92457,0.99462,0.97136,0.82594,0.65366,0.49178,1.51169,0.000114221,0.000114221,0.000114221
