epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.643,0.36836,1.00304,1.01648,0.78006,0.78009,0.82424,0.70604,0.54582,1.66169,1.09039,0.000664251,0.000664251,0.000664251
2,960.891,0.3155,0.56815,0.97273,0.96408,0.86974,0.90674,0.81358,0.41275,0.63579,1.05725,0.00130457,0.00130457,0.00130457
3,1433.81,0.30859,0.4801,0.96354,0.96179,0.8125,0.89604,0.83623,0.34556,0.5305,0.92586,0.00191848,0.00191848,0.00191848
4,1904.34,0.27452,0.40264,0.9507,0.95854,0.87731,0.92986,0.86338,0.29655,0.36683,0.88002,0.0018812,0.0018812,0.0018812
5,2398.91,0.25394,0.37951,0.93979,0.95902,0.86667,0.92736,0.86821,0.28266,0.35568,0.88187,0.0018416,0.0018416,0.0018416
6,2878.43,0.24807,0.35004,0.93575,0.95116,0.9016,0.93738,0.88624,0.26312,0.30895,0.85689,0.001802,0.001802,0.001802
7,3359.48,0.23978,0.33896,0.92833,0.96468,0.88507,0.92941,0.88051,0.2706,0.3355,0.86894,0.0017624,0.0017624,0.0017624
8,3841.51,0.21808,0.31967,0.92614,0.96836,0.88194,0.923,0.88835,0.25071,0.29715,0.84865,0.0017228,0.0017228,0.0017228
9,4324.61,0.21952,0.31429,0.92179,0.97062,0.8912,0.94158,0.90606,0.21881,0.27737,0.8136,0.0016832,0.0016832,0.0016832
10,4805.98,0.21765,0.30265,0.91978,0.94586,0.91898,0.93821,0.89728,0.23199,0.26486,0.83773,0.0016436,0.0016436,0.0016436
11,5287.82,0.20494,0.29095,0.91323,0.96007,0.89051,0.93512,0.90791,0.22678,0.25807,0.82544,0.001604,0.001604,0.001604
12,5769.82,0.19838,0.28173,0.91069,0.97009,0.9008,0.9465,0.91806,0.22837,0.23574,0.83455,0.0015644,0.0015644,0.0015644
13,6249.94,0.19442,0.27366,0.91158,0.94574,0.90278,0.94168,0.90704,0.20949,0.2467,0.82572,0.0015248,0.0015248,0.0015248
14,6729.91,0.19128,0.27097,0.9077,0.95995,0.88776,0.94149,0.9058,0.20114,0.24884,0.81405,0.0014852,0.0014852,0.0014852
15,7211.06,0.18716,0.26546,0.90862,0.96882,0.91898,0.95223,0.92334,0.19977,0.2384,0.80631,0.0014456,0.0014456,0.0014456
16,7692.55,0.18074,0.25299,0.9077,0.95914,0.92382,0.94746,0.89325,0.2222,0.28353,0.84553,0.001406,0.001406,0.001406
17,8175.01,0.17875,0.25379,0.90616,0.96085,0.89815,0.94869,0.91496,0.1931,0.21882,0.79602,0.0013664,0.0013664,0.0013664
18,8656.48,0.18156,0.25668,0.90266,0.97014,0.9213,0.95427,0.92335,0.20385,0.22466,0.80418,0.0013268,0.0013268,0.0013268
19,9136.68,0.17465,0.24474,0.90673,0.97495,0.91435,0.94442,0.91432,0.216,0.23402,0.82828,0.0012872,0.0012872,0.0012872
20,9617.85,0.16945,0.24163,0.89791,0.9729,0.91417,0.9608,0.94043,0.2017,0.23287,0.80593,0.0012476,0.0012476,0.0012476
21,10099.3,0.16526,0.23043,0.89626,0.96845,0.92383,0.95829,0.92687,0.18723,0.20104,0.7977,0.001208,0.001208,0.001208
22,10581.3,0.1675,0.2349,0.89763,0.97311,0.91204,0.95205,0.92378,0.18876,0.20944,0.804,0.0011684,0.0011684,0.0011684
23,11063.7,0.15891,0.22291,0.89946,0.96741,0.9213,0.95197,0.92758,0.1786,0.19433,0.78622,0.0011288,0.0011288,0.0011288
24,11548.8,0.15413,0.21979,0.89652,0.95856,0.92593,0.95249,0.92889,0.1955,0.2154,0.81222,0.0010892,0.0010892,0.0010892
25,12031.3,0.1541,0.22092,0.89639,0.98277,0.88889,0.95213,0.92711,0.17219,0.19842,0.7804,0.0010496,0.0010496,0.0010496
26,12515.7,0.15344,0.22195,0.89602,0.96835,0.92068,0.95395,0.93473,0.20015,0.19948,0.79884,0.00101,0.00101,0.00101
27,24684.8,0.15321,0.22153,0.89692,0.98957,0.91204,0.95206,0.93406,0.16357,0.18993,0.7769,0.0009704,0.0009704,0.0009704
28,25185.1,0.14429,0.21492,0.89262,0.98268,0.91938,0.95878,0.93664,0.17534,0.18729,0.7891,0.0009308,0.0009308,0.0009308
29,25702.1,0.14393,0.20741,0.89,0.95688,0.92465,0.95649,0.9374,0.16306,0.19142,0.77639,0.0008912,0.0008912,0.0008912
30,26218.1,0.14283,0.20528,0.89055,0.97793,0.9232,0.95608,0.93272,0.18579,0.21043,0.80859,0.0008516,0.0008516,0.0008516
31,26706.2,0.14147,0.2084,0.89038,0.95722,0.93224,0.95255,0.93131,0.15077,0.1707,0.77266,0.000812,0.000812,0.000812
32,27213.1,0.14074,0.19895,0.89008,0.97479,0.92361,0.9591,0.93747,0.14437,0.17446,0.76632,0.0007724,0.0007724,0.0007724
33,27735.7,0.13694,0.20068,0.89439,0.9709,0.9269,0.95702,0.93572,0.15038,0.18553,0.76807,0.0007328,0.0007328,0.0007328
34,28208.1,0.13833,0.20021,0.89372,0.98771,0.92989,0.95833,0.92619,0.17853,0.18585,0.79728,0.0006932,0.0006932,0.0006932
35,28672.2,0.13349,0.1962,0.88583,0.98439,0.9213,0.96189,0.9396,0.14577,0.17212,0.76947,0.0006536,0.0006536,0.0006536
36,29136.9,0.129,0.19492,0.89023,0.99003,0.91991,0.96515,0.94407,0.15686,0.18786,0.77716,0.000614,0.000614,0.000614
37,29601.3,0.12944,0.1881,0.89133,0.98525,0.9278,0.95992,0.94343,0.14077,0.16607,0.76322,0.0005744,0.0005744,0.0005744
38,30099.1,0.12928,0.18644,0.88984,0.98619,0.92593,0.95794,0.94132,0.13872,0.16671,0.7655,0.0005348,0.0005348,0.0005348
39,30565.8,0.12129,0.18132,0.88817,0.9877,0.92967,0.96801,0.94923,0.13973,0.1683,0.76372,0.0004952,0.0004952,0.0004952
40,31047.2,0.11844,0.17934,0.88756,0.99244,0.93056,0.96867,0.94908,0.14608,0.1752,0.77127,0.0004556,0.0004556,0.0004556
41,31537.9,0.12425,0.19905,0.8823,0.98518,0.92352,0.95576,0.93922,0.14766,0.16646,0.76416,0.000416,0.000416,0.000416
42,31995.4,0.12054,0.18097,0.87995,0.98054,0.93287,0.95787,0.94494,0.14984,0.16837,0.76645,0.0003764,0.0003764,0.0003764
43,32446.9,0.12175,0.17294,0.88766,0.98643,0.92824,0.95961,0.94551,0.14913,0.17294,0.76463,0.0003368,0.0003368,0.0003368
44,32903.4,0.1191,0.1685,0.8801,0.98925,0.92824,0.96103,0.94627,0.13,0.15483,0.75734,0.0002972,0.0002972,0.0002972
